지점,지점명,일시,Aerosol,Temp_avg,Temp_min,Temp_max,Humidity,sunshine time,Total daylight hours,cloud cover,cumulative UV,Maximum UV
129,서산,2020-03-02,98.6,3.4,-0.1,6.8,60.8,11.4,10.5,2.3,0.833,0.106
129,서산,2020-03-03,118.6,4.2,-1,11.2,74,11.5,6.3,8,0.64,0.093
129,서산,2020-03-04,83.3,2.8,0.6,6.3,60.9,11.5,7,7.5,0.661,0.09
129,서산,2020-03-05,62,1.2,-3.7,6.3,55.5,11.6,10.7,0.6,0.897,0.109
129,서산,2020-03-06,58.6,2.3,-5.5,10.4,63.3,11.6,10.3,3.9,0.88,0.112
129,서산,2020-03-07,123.3,4.5,-1.9,12.3,60.9,11.6,2.1,6.1,0.526,0.082
129,서산,2020-03-08,201.9,6.9,-2,17.8,58.9,11.7,10.5,1.5,0.842,0.103
129,서산,2020-03-09,232.3,8.3,0.3,16.6,60.1,11.7,5.6,8.1,0.542,0.079
129,서산,2020-03-10,100.5,5.9,4,8,79.4,11.8,1.2,7.4,0.278,0.035
129,서산,2020-03-11,19.7,3.8,-1.5,8.9,49.8,11.8,11,0.4,0.831,0.093
129,서산,2020-03-12,18.5,5.1,-2,12.4,67.5,11.8,10.6,0.4,0.878,0.092
129,서산,2020-03-13,21.8,4.6,0.3,8.3,52.1,11.9,8.7,5.6,0.795,0.102
129,서산,2020-03-14,50.8,3.9,-4.6,9.5,61.1,11.9,10.4,1.8,0.927,0.091
129,서산,2020-03-15,37.8,3.9,-1.8,9.7,56.3,11.9,7.1,4.1,0.886,0.099
129,서산,2020-03-16,24.7,3.3,-3.3,9.2,56.1,12,11.1,0.3,0.995,0.116
129,서산,2020-03-17,45.1,6.8,1.8,13.1,82.1,12,5,7.3,0.7,0.082
129,서산,2020-03-18,210.8,8.8,3.1,16.5,64.8,12.1,8.5,3.4,0.966,0.12
129,서산,2020-03-20,10.4,8.1,-0.2,14.2,58.1,12.1,11,1.4,0.967,0.111
129,서산,2020-03-21,20.7,11.6,6,16.8,72.5,12.2,7,5.6,0.793,0.099
129,서산,2020-03-22,33.6,9.6,4,15.4,53.1,12.2,11.6,1.3,1.06,0.136
129,서산,2020-03-23,70.6,8,-0.2,16.4,59.9,12.3,11.4,0.4,1,0.127
129,서산,2020-03-24,113.8,8.8,0.4,18,60.4,12.3,11.5,0.9,0.991,0.121
129,서산,2020-03-25,118.3,10.6,0.9,20.1,57.3,12.3,10,3.6,0.979,0.137
129,서산,2020-03-26,94.9,13.4,6.4,18.8,74.9,12.4,0.1,8.8,0.309,0.099
129,서산,2020-03-27,50.2,9.5,6.3,13.3,66.9,12.4,7.2,5.4,0.953,0.155
129,서산,2020-03-28,12.4,6.3,1.4,10.7,37.6,12.5,7.5,5.4,0.831,0.116
129,서산,2020-03-29,34.7,6.6,-2.1,15.5,55.4,12.5,10.1,3.3,1.022,0.134
129,서산,2020-03-30,28.1,7.2,-0.7,16.3,51.1,12.5,11.8,1.5,1.138,0.145
129,서산,2020-03-31,35.6,8.7,-0.8,18,50.1,12.6,9.7,4.4,1.091,0.159
129,서산,2020-04-01,49.4,9.9,6.3,15.2,50.5,12.6,8.4,5,0.684,0.114
129,서산,2020-04-02,53.2,8.4,1,15.1,58.6,12.6,10.8,3.1,0.882,0.105
129,서산,2020-04-03,131.8,8.4,0.9,16.8,66.3,12.7,11.6,2.5,1.11,0.125
129,서산,2020-04-04,57.6,8.3,5,12.1,49.9,12.7,11,1.4,1.106,0.146
129,서산,2020-04-05,24.5,6.3,0.6,12,41.6,12.8,11.9,1.6,1.139,0.137
129,서산,2020-04-06,16.8,7.6,-1.6,15.9,60.1,12.8,10.9,4,1.098,0.14
129,서산,2020-04-07,22.4,9.1,2.5,16.6,71.6,12.9,10.3,3.1,0.897,0.101
129,서산,2020-04-08,38.9,8,0.7,14.2,48.4,12.9,12.1,1.5,1.174,0.141
129,서산,2020-04-09,51.2,7.6,0.3,13.4,57.9,12.9,10.7,4.8,1.049,0.125
129,서산,2020-04-10,69.4,8.3,1.2,15.4,62.3,13,11.7,3.6,1.131,0.13
129,서산,2020-04-11,59.8,7,1.2,14,71.3,13,6.3,6.1,0.815,0.11
129,서산,2020-04-12,105.2,8.3,0.5,16.5,67.1,13,7.3,3.3,0.852,0.11
129,서산,2020-04-13,49.6,10,4.3,16.5,42.5,13.1,11.2,5.1,1.189,0.147
